cmc_id,symbol,name,picked_chainid,picked_address,reachable,n_platforms,platforms
2620,SWTH,Carbon Protocol,1,0xb4371da53140417cbb3362055374b10d97e420bb,True,4,Ethereum:0xb4371da53140417cbb3362055374b10d97e420bb | Neo:ab38352559b8b203bde5fddfa0b07d8b2525e132 | BNB Smart Chain (BEP20):0x250b211ee44459dad5cd3bca803dd6a7ecb5d46c | Zilliqa:zil1yk93f957fanapf0yszgm84p62xrxxfytj4d2tl
2662,XHV,Haven Protocol,,,False,0,
2663,KST,StarCoin,,,False,0,
2675,DOCK,Dock,,,False,0,
2693,LRN,Loopring [NEO],,,False,0,
2700,CEL,Celsius,1,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,True,3,Ethereum:0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d | Solana:nRtfwU9G82CSHhHGJNxFhtn7FLvWP2rqvQvje1WtL69 | Gnosis Chain:0x0aCD91f92Fe07606ab51EA97d8521E29D110fD09
2726,GEN,DAOstack,1,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,True,1,Ethereum:0x543ff227f64aa17ea132bf9886cab5db55dcaddf
2765,XYO,XYO,1,0x55296f69f40ea6d20e478533c15a6b08b654e758,True,2,Ethereum:0x55296f69f40ea6d20e478533c15a6b08b654e758 | Solana:FCZKwHd9Qn1EQj8fFuNLB8dupAWCoJJNePbMqyHhS77b
2772,DGTX,Digitex,1,0xc666081073e8dff8d3d1c2292a29ae1a2153ec09,True,1,Ethereum:0xc666081073e8dff8d3d1c2292a29ae1a2153ec09
2778,EXC,Eximchain,1,0x00c4b398500645eb5da00a1a379a88b11683ba01,True,1,Ethereum:0x00c4b398500645eb5da00a1a379a88b11683ba01
2826,ZIP,Zipper,1,0xa9d2927d3a04309e008b6af6e2e282ae2952e7fd,True,1,Ethereum:0xa9d2927d3a04309e008b6af6e2e282ae2952e7fd
2873,MET,Metronome,1,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,True,3,Ethereum:0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa | Optimism:0x9a2e53158e12BC09270Af10C16A466cb2b5D7836 | Base:0x93dc5Cb35627A759848c7A7F0079EA7b49E435a5
2930,IQ,IQ,1,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,True,4,Ethereum:0x579cea1889991f68acc35ff5c3dd0621ff29b0c9 | Vaulta:everipediaiq | Polygon:0xB9638272aD6998708de56BBC0A290a1dE534a578 | Arbitrum:0xce4DB2ce8cCa463f8Aa1e2174C244Ba4a8d672cB
2933,BMX,BitMart Token,1,0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,True,1,Ethereum:0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8
2937,VITE,VITE,1,0xadd5e881984783dd432f80381fb52f45b53f3e70,True,3,Ethereum:0xadd5e881984783dd432f80381fb52f45b53f3e70 | BNB Smart Chain (BEP20):0x2794dad4077602ed25a88d03781528d1637898b4 | Vite:tti_5649544520544f4b454e6e40
2945,BOX,ContentBox,1,0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,True,1,Ethereum:0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f
2982,MVL,MVL,1,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,True,3,Ethereum:0xa849eaae994fb86afa73382e9bd88c2b6b18dc71 | BNB Smart Chain (BEP20):0x5f588efaf8eb57e3837486e834fc5a4e07768d98 | TON:EQD2yazA2wf5AY2joEzGUDGk0cQWxEa2NdiP4Zgf9-eF04tp
3053,YOU,YOU COIN,1,0x34364BEe11607b1963d66BCA665FDE93fCA666a8,True,1,Ethereum:0x34364BEe11607b1963d66BCA665FDE93fCA666a8
3083,LINA,LINA,1,0xc05d14442a510de4d3d71a3d316585aa0ce32b50,True,1,Ethereum:0xc05d14442a510de4d3d71a3d316585aa0ce32b50
3139,DX,DxChain Token,1,0x973e52691176d36453868D9d86572788d27041A9,True,1,Ethereum:0x973e52691176d36453868D9d86572788d27041A9
3155,QNT,Quant,1,0x4a220e6096b25eadb88358cb44068a3248254675,True,1,Ethereum:0x4a220e6096b25eadb88358cb44068a3248254675
3296,MIN,MINDOL,1,0x5d64d850c8368008afb39224e92ad0dceff3cf38,True,1,Ethereum:0x5d64d850c8368008afb39224e92ad0dceff3cf38
3325,ROX,Robotina,1,0x574f84108a98c575794f75483d801d1d5dc861a5,True,1,Ethereum:0x574f84108a98c575794f75483d801d1d5dc861a5
3367,CRD,CryptalDash,1,0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc,True,1,Ethereum:0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc
3418,META,Metadium,1,0xde2f7766c8bf14ca67193128535e5c7454f8387c,True,1,Ethereum:0xde2f7766c8bf14ca67193128535e5c7454f8387c
3475,BOX,BOX Token,1,0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD,True,1,Ethereum:0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD
