cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
5741,DMG,DMM: Governance,1,0xEd91879919B71bB6905f23af0A68d231EcF87b14,True,DMGToken,0,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)",1000,10316143,Transfer(universal)
5798,RING,Darwinia Network,1,0x9469d013805bffb7d3debe5e7839237e535ec483,True,RING,0,-,,,,-,,,,Transfer(universal)
5824,SLP,Smooth Love Potion,1,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,True,SmoothLovePotion,0,-,,,,-,,,,Transfer(universal)
5829,SWAP,TrustSwap,1,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,True,AdminUpgradeabilityProxy->impl:SwapToken,1,-,,,,-,,,,Transfer(universal)
5830,NXM,NXM,1,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,True,NXMToken,0,-,,,,-,,,,Transfer(universal)
5841,NEST,NEST Protocol,1,0xcd6926193308d3B371FdD6A6219067E550000000,True,NestToken,0,-,,,,-,,,,Transfer(universal)
5892,ANY,Anyswap,1,0xf99d58e463a2e07e5692127302c20a191861b4d6,True,Erc20SwapAsset,0,-,,,,-,,,,Transfer(universal)
5906,NVT,NerveNetwork,1,0x7b6f71c8b123b38aa8099e0098bec7fbc35b8a13,True,ERC20Minter,0,-,,,,-,,,,Transfer(universal)
5957,YFII,DFI.Money,1,0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,True,YFII,0,-,,,,-,,,,Transfer(universal)
5994,SHIB,Shiba Inu,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,True,TokenMintERC20Token,0,-,,,,-,,,,Transfer(universal)
6138,DIA,DIA,1,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,True,DIAToken,0,-,,,,-,,,,Transfer(universal)
6511,STRONG,Strong,1,0x990f341946a3fdb507ae7e52d17851b87168017c,True,Strong,0,-,,,,-,,,,Transfer(universal)
6669,CVP,PowerPool,1,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,True,Cvp,0,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)",1000,10753862,Transfer(universal)
6748,CFG,Centrifuge,1,0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94,True,CFG,0,-,,,,-,,,,Transfer(universal)
