cohort,project,month,pq_usd,tvl_usd,turnover
LENDING,spark,2026-02,1228612192.3068495,3823751387.23815,0.3213106888715015
LENDING,spark,2026-03,1061749523.8243096,3805555570.5504103,0.27899987377421087
LENDING,spark,2026-04,3171786379.7871695,5298827201.22111,0.5985827163898143
LENDING,spark,2026-05,2937371824.2602406,5070645783.98069,0.5792894927782293
LENDING,spark,2026-06,1820364241.8501048,4467103167.69811,0.40750441024359313
LENDING,strike,2021-09,3852408.5907604718,29065985.0,0.13254010110995626
LENDING,strike,2021-10,6536844.8310296,34082565.0,0.1917943919722474
LENDING,strike,2021-11,849089.98,31284340.0,0.027141054597923434
LENDING,strike,2021-12,2919531.989157933,28973946.0,0.10076404467509993
LENDING,strike,2022-01,3832897.411995744,24258539.0,0.15800198899017553
LENDING,strike,2022-02,4548532.828523348,29527533.0,0.15404378105422312
LENDING,strike,2022-03,4801939.995496905,35472305.0,0.13537152422141457
LENDING,strike,2022-04,15385986.098138005,28043463.0,0.5486478648567049
LENDING,strike,2022-05,9048793.903635865,23167034.0,0.3905892270730843
LENDING,strike,2022-06,11704891.996932741,13751275.0,0.8511859443529958
LENDING,strike,2022-07,4567593.615217805,16138166.0,0.2830305262207493
LENDING,strike,2022-08,2613990.397989999,15930071.0,0.16409157234704094
LENDING,strike,2022-09,5109962.259275608,15040673.0,0.3397429263488148
LENDING,strike,2022-10,1330525.5762277448,16006473.0,0.0831242195721534
LENDING,strike,2022-11,1827175.9810640002,14631551.0,0.12487917248581508
LENDING,strike,2022-12,3839147.140699,11564483.0,0.331977412280255
LENDING,strike,2023-01,321285.9974691578,13384076.0,0.024005093625376738
LENDING,strike,2023-02,552561.4996617764,13933408.0,0.039657311381521045
LENDING,strike,2023-03,9611975.96416727,13564570.0,0.708608969113453
LENDING,strike,2023-04,4124198.524318264,14958283.0,0.2757133639147129
LENDING,strike,2023-05,6323768.941386844,13644146.0,0.4634785454059817
LENDING,strike,2023-06,15025975.472202675,16529779.0,0.9090245835835238
LENDING,strike,2023-07,1905185.6244442954,14279813.0,0.13341810739708534
LENDING,strike,2023-08,4680977.665820356,14203372.0,0.3295680536861498
LENDING,strike,2023-09,4292994.209121593,13087417.0,0.32802456047068673
LENDING,strike,2023-10,6576680.1690820595,16468440.0,0.3993505255556725
LENDING,strike,2023-11,4312234.415301495,18086286.0,0.2384256455582697
LENDING,strike,2023-12,8408329.187588254,19097796.0,0.4402774638281954
LENDING,strike,2024-01,949730.4581999999,16959978.0,0.05599833078792908
LENDING,strike,2024-02,1853549.5643490187,23599974.0,0.07854032230497451
