cmc_id,symbol,dl_slug,dl_category,tvl_present,tvl_start,tvl_end,tvl_last_usd,tvl_status,fees_present,fees_start,fees_end,fees_30d,fees_status,rev_present,rev_start,rev_end,rev_30d,dex_present,dex_start,dex_end,dex_30d,dex_status,deriv_present,deriv_status,opt_present,opt_status,opt_start,opt_end,bridge_vol,apy_present,apy_npools,apy_tvl_usd,apy_wmean_pct
7278,AAVE,aave-v2,Lending,Y,2020-12-02,2026-06-25,103243654.0,200,Y,2020-12-03,2026-06-24,182332.0,200,Y,2020-12-03,2026-06-24,161710.0,N,,,,400,,,,,,,,N,0,,
8857,ANC,anchor,Lending,Y,2021-04-21,2023-10-11,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5810,BZRX,ooki,Lending,Y,2021-02-17,2025-06-10,27516.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
6536,OM,mantra-dao,Lending,Y,2021-06-11,2026-06-25,2197.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
8911,STRK,strike,Lending,Y,2021-09-23,2026-06-25,2696.0,200,Y,2024-08-31,2026-06-24,,200,Y,2024-08-31,2026-06-24,,N,,,,400,,,,,,,,N,0,,
4090,WXT,nereus-finance,Lending,Y,2022-02-24,2026-06-25,53996.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7232,ALPHA,stella,Leveraged Farming,Y,2023-06-21,2026-06-09,442829.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
8000,LDO,lido,Liquid Staking,Y,2020-12-19,2026-06-25,14115230638.0,200,Y,2021-04-29,2026-06-23,35278457.0,200,Y,2021-04-29,2026-06-23,2162174.0,N,,,,400,,,,,,,,Y,1,14124575398.0,2.38
7726,ICHI,ichi,Liquidity Manager,Y,2021-06-13,2026-06-25,9720012.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,Y,9,680855.0,52.86
8191,NFTX,nftx,NFT Marketplace,Y,2021-06-26,2026-06-25,1167984.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7230,OPIUM,opium,Options,Y,2021-02-03,2026-06-25,113787.0,200,N,,,,400,N,,,,N,,,,400,,,N,400,,,,N,0,,
6945,AMP,flexa,Payments,Y,2020-11-09,2026-06-25,802935.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
1104,REP,augur,Prediction Market,Y,2020-03-13,2026-06-25,1251599.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
9067,OHM,olympus-dao,Reserve Currency,Y,2021-03-24,2026-06-25,,200,Y,2025-02-11,2026-06-24,133227.0,200,Y,2025-02-11,2026-06-24,133227.0,N,,,,400,,,,,,,,N,0,,
30494,EIGEN,eigencloud,Restaking,Y,2023-06-13,2026-06-25,4281762558.0,200,Y,2024-09-24,2026-06-24,932154.0,200,Y,2024-09-24,2026-06-24,,N,,,,400,,,,,,,,N,0,,
7737,API3,api3,Risk Curators,Y,2022-01-31,2026-06-25,15274080.0,200,Y,2025-12-29,2026-06-24,128749.0,200,Y,2025-12-29,2026-06-24,6438.0,N,,,,400,,,,,,,,N,0,,
8766,ALICE,my-neighbor-alice,Services,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
1680,ANT,aragon,Services,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
27565,ARKM,arkham,Services,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
9421,FORTH,forth-dao,Services,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
2930,IQ,iq,Services,Y,2021-08-26,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,Y,1,1705662.0,7.04
35763,KAITO,kaito,Services,Y,2025-11-19,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
8290,SUPER,superfarm,Services,Y,2021-12-25,2026-06-25,20124.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
24781,CYBER,cyberconnect,SoFi,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
3930,TT,thundercore-staking,Staking Pool,Y,2023-04-13,2026-06-25,420148.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
10804,FLOKI,flokifi-locker,Token Locker,Y,2023-02-20,2026-06-25,9021038.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5829,SWAP,team-finance,Token Locker,Y,2022-06-29,2026-06-21,45710188.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
