spec,var,coef,se,t,p,n,n_assets
token_pf_gl_ln_s4_TVLGL_matched,mom_3m_std,-0.00332002291989666,0.0095976795826262,-0.34591933303405886,0.7294732343992252,1104,41
token_pf_gl_ln_s4_TVLGL_matched,mom_12_2_std,0.0009632723730891348,0.003996884420960315,0.2410058114359217,0.8095980704198531,1104,41
token_pf_gl_ln_s4_TVLGL_matched,r_1m_std,-0.016704783223725567,0.007472479579623503,-2.235507376865556,0.025595445318529864,1104,41
token_pf_gl_ln_s4_TVLGL_matched,beta36_std,-0.002178329801396748,0.007778380447203638,-0.2800492745478742,0.7794953387794217,1104,41
token_pf_gl_ln_s4_TVLGL_matched,val_std,-0.003946135746863857,0.005360130066810005,-0.7362014909485837,0.4617739420895448,1104,41
token_pf_gl_ln_s4_TVLGL_matched,conv_x_val,0.00421624332391137,0.010006827768054534,0.42133665349684196,0.6735962487138747,1104,41
token_s4_TVLGL_full,conv_std,0.006086716188910192,0.004151224897822776,1.4662458283343158,0.1427057992080527,2592,97
token_s4_TVLGL_full,size_std,-0.0021719649790649,0.00614008883377011,-0.35373510674947023,0.7235669311627788,2592,97
token_s4_TVLGL_full,mom_3m_std,-0.002669893648278742,0.00512953998722146,-0.5204937781808686,0.6027650799051982,2592,97
token_s4_TVLGL_full,mom_12_2_std,-0.0009134289006643222,0.004698022952853957,-0.19442836057440546,0.8458561198066539,2592,97
token_s4_TVLGL_full,r_1m_std,-0.014845529198808481,0.0063945109881458325,-2.3216050807214463,0.020333387133911973,2592,97
token_s4_TVLGL_full,beta36_std,0.0065702375495258186,0.007541411161509632,0.8712212354976009,0.3837161591771734,2592,97
token_s4_TVLGL_full,val_std,0.004179008318004103,0.005289143120941726,0.7901106516588333,0.4295373147090209,2592,97
token_s4_TVLGL_full,conv_x_val,0.0034044188217699878,0.004306164327958285,0.7905919427334421,0.4292563667929985,2592,97
