spec,var,coef,se,t,p,n,r2_within
token_s6_2,size_std,-0.0029220977844922314,0.006898232920013236,-0.42360091611499606,0.6718930095696194,2592,0.006086074454373147
token_s6_2,mom_3m_std,-0.0027673410308244237,0.005005772637963436,-0.5528299487350063,0.5804288538032152,2592,0.006086074454373147
token_s6_2,mom_12_2_std,-0.001864217867705946,0.004608250670650975,-0.40453916267593165,0.6858505903951286,2592,0.006086074454373147
token_s6_2,r_1m_std,-0.0150758329651811,0.006472237414712627,-2.329307780167468,0.01992135903740877,2592,0.006086074454373147
token_s6_2,beta36_std,0.006320492380657026,0.007377934558090998,0.8566750397271646,0.3917058917546803,2592,0.006086074454373147
token_s6_3,conv_std,0.0076843313650069136,0.003831673636649542,2.0054764820017863,0.04501882346693353,2592,0.0059005079224248025
token_s6_3,size_std,-0.0009353705630578938,0.005897792364642389,-0.15859672657611604,0.8739993109671005,2592,0.0059005079224248025
token_s6_3,mom_3m_std,-0.003240740358446587,0.005235356913070086,-0.6190103964747977,0.5359654402182907,2592,0.0059005079224248025
token_s6_3,mom_12_2_std,-0.002500505291367412,0.004720777955209916,-0.5296807676810598,0.596379925966275,2592,0.0059005079224248025
token_s6_3,r_1m_std,-0.015553233528760282,0.006384932058962973,-2.4359278039501024,0.014922482751932309,2592,0.0059005079224248025
token_s6_3,beta36_std,0.006658832937685199,0.007541614722645077,0.8829452554359263,0.37735003580200077,2592,0.0059005079224248025
token_s6_3,val_std,0.005258477466765206,0.0056822576639126935,0.9254204539440612,0.3548358186127991,2592,0.0059005079224248025
token_s6_4,conv_std,0.007583475586771699,0.003919139316114589,1.9349849482487678,0.053103916150389674,2592,0.006046022910513926
token_s6_4,size_std,-0.0010171208785139593,0.005962629298013578,-0.17058261174358239,0.8645656653414853,2592,0.006046022910513926
token_s6_4,mom_3m_std,-0.0032871352307719025,0.005217483157847537,-0.6300231608467719,0.528736550965077,2592,0.006046022910513926
token_s6_4,mom_12_2_std,-0.002371417377779693,0.004672115673817135,-0.5075682074973621,0.6118006090078931,2592,0.006046022910513926
