spec,var,coef,se,t,p,n
coin_sub2024_joint,raw_val_std,0.021698658283662554,0.013199256245645368,1.64393037606352,0.1009164124265649,468
coin_sub2024_joint,supply_g12_std,-0.007030656867306705,0.004932055869389266,-1.4255022760269964,0.1547325208010406,468
coin_sub2024_joint,high52_std,0.041284690714045905,0.013901000037027737,2.96990796374915,0.003144519155438452,468
coin_sub2024_joint,ma_cross_std,-0.008462150842152622,0.010933853257761562,-0.7739404071611841,0.43938838084386633,468
coin_sub2024_joint,r_1m_std,-0.027627602856704455,0.01123096556966082,-2.4599490297911064,0.014285404432270443,468
coin_sub2024_joint,mom_3m_std,-0.0193544615429258,0.010896362507927517,-1.776231428501456,0.0763969134815281,468
coin_sub2024_joint,mom_12_2_std,0.0060413026908170886,0.010483622267737884,0.5762610037380389,0.5647381852857012,468
coin_sub2024_joint_int,conv_std,0.0012972853690138412,0.006498844316008649,0.1996178560268368,0.8418736049703397,468
coin_sub2024_joint_int,raw_val_std,0.02618083490251913,0.01420912304888669,1.8425369962976317,0.06608327727058128,468
coin_sub2024_joint_int,supply_g12_std,-0.007977536564454397,0.003994079257348313,-1.9973405759981635,0.046416384073371786,468
coin_sub2024_joint_int,high52_std,0.043928963594226135,0.014091602462286676,3.1173859546345506,0.001946799181197001,468
coin_sub2024_joint_int,ma_cross_std,-0.0076974308489844,0.010250674990567255,-0.7509194132159718,0.45311093813413095,468
coin_sub2024_joint_int,r_1m_std,-0.029446909238611922,0.0111516432407041,-2.640589247971018,0.008576766652216294,468
coin_sub2024_joint_int,mom_3m_std,-0.021129523161283997,0.010064392810166209,-2.099433474013526,0.03635966702986004,468
coin_sub2024_joint_int,mom_12_2_std,0.0031808063700030672,0.010024752580964634,0.3172952493653458,0.751173230056801,468
coin_sub2024_joint_int,val_std,-0.010617491129646169,0.008858380032742759,-1.198581579295684,0.2313492965118069,468
coin_sub2024_joint_int,conv_x_val,-0.010428216320011478,0.005438766021417207,-1.917386458425756,0.055849548906022894,468
token_full_single_conv,conv_std,0.0064435068969308324,0.0032777297713403384,1.965844455290753,0.0494231324545098,2652
token_full_single_raw_val,raw_val_std,-0.006067430225761471,0.003972373342424881,-1.52740684289702,0.12678184081623245,2652
token_full_single_s2f_ln,s2f_ln_std,0.004487306339897382,0.0043538320569651056,1.0306567366829753,0.3028303588437766,1997
token_full_single_supply_g12,supply_g12_std,0.0005440441396561673,0.0040151430042938896,0.1354980729389597,0.8922286457860484,2642
token_full_single_high52,high52_std,-0.013417166867139129,0.006569104280542536,-2.042465196797122,0.041206355527253935,2652
token_full_single_ma_cross,ma_cross_std,-0.00940126190599738,0.00506867005791561,-1.8547788273011923,0.06375925409003336,2286
