cmc_id,symbol,name,entry_month,tags
29471,sUSDe,Ethena Staked USDe,2024-05-31,arbitrum-ecosystem;asset-backed-stablecoin;defi;ethereum-ecosystem;kava-ecosystem;manta-pacific-ecosystem;mantle-ecosystem;metis-andromeda-ecosystem;optimism-ecosystem;rehypothecated-crypto;scroll-ecosystem;stablecoin;staking;usd-stablecoin;xlayer-ecosystem
28112,EDLC,Edelcoin,2024-07-31,asset-backed-stablecoin;stablecoin
29256,USDY,Ondo US Dollar Yield,2024-07-31,aptos-ecosystem;arbitrum-ecosystem;ethereum-ecosystem;mantle-ecosystem;ondo-global-markets-ecosystem;solana-ecosystem;stablecoin;sui-ecosystem
32307,USD0,Usual USD,2024-12-31,arbitrum-ecosystem;asset-backed-stablecoin;ethereum-ecosystem;real-world-assets;real-world-assets-protocols;stablecoin;usd-stablecoin
33039,USDS,USDS,2025-01-31,arbitrum-ecosystem;asset-backed-stablecoin;avalanche-ecosystem;base-ecosystem;binance-ecosystem;binance-listing;bnb-chain-ecosystem;defi;ethereum-ecosystem;fantom-ecosystem;harmony-ecosystem;moonriver-ecosystem;optimism-ecosystem;polygon-ecosystem;rehypothecated-crypto;stablecoin;usd-stablecoin
18852,USDC.e,USD Coin Bridged,2025-01-31,arbitrum-ecosystem;corn-ecosystem;defi;moonriver-ecosystem;optimism-ecosystem;polygon-ecosystem;rehypothecated-crypto;saakuru-ecosystem;somnia-ecosystem;stablecoin;zksync-era-ecosystem
7957,vUSDT,Venus USDT,2025-01-31,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defi;rehypothecated-crypto;stablecoin
31024,DEUSD,Elixir deUSD,2025-02-28,ethereum-ecosystem;stablecoin;usd-stablecoin
34387,RLUSD,Ripple USD,2025-03-31,asset-backed-stablecoin;binance-ecosystem;binance-listing;ethereum-ecosystem;fiat-stablecoin;stablecoin;usd-stablecoin;xrp-ecosystem
33793,USDG,Global Dollar,2025-04-30,asset-backed-stablecoin;ethereum-ecosystem;solana-ecosystem;stablecoin;usd-stablecoin
23508,GHO,GHO,2025-04-30,stablecoin
20641,EURC,EURC,2025-04-30,asset-backed-stablecoin;avalanche-ecosystem;base-ecosystem;ethereum-ecosystem;eur-stablecoin;fiat-stablecoin;solana-ecosystem;sonic-ecosystem;stablecoin;stellar-ecosystem
35721,USDf,Falcon USD,2025-04-30,asset-backed-stablecoin;dwf-labs-portfolio;ethereum-ecosystem;stablecoin;usd-stablecoin;wlfi-ecosystem;xdc-ecosystem
36457,AETHUSDT,Aave Ethereum USDT,2025-05-31,aave-tokens;asset-backed-stablecoin;asset-management;defi;rehypothecated-crypto;stablecoin;usd-stablecoin;yield-farming
36148,USD1,World Liberty Financial USD,2025-05-31,asset-backed-stablecoin;binance-ecosystem;binance-listing;made-in-america;stablecoin;tron20-ecosystem;usd-stablecoin;wlfi-ecosystem;world-liberty-financial-portfolio
34691,USDtb,Ethena Labs (USDtb),2025-06-30,asset-backed-stablecoin;defi;ethereum-ecosystem;fiat-stablecoin;rehypothecated-crypto;stablecoin
38562,USDAI,USDai,2025-10-31,plasma-ecosystem;stablecoin
36762,DUSD,StandX DUSD,2025-10-31,defi;derivatives;stablecoin
38330,GUSD,GUSD,2025-10-31,stablecoin
37760,BFUSD,BFUSD,2025-11-30,asset-backed-stablecoin;binance-ecosystem;binance-listing;defi;rehypothecated-crypto;stablecoin;yield-farming
24927,CRVUSD,crvUSD,2025-11-30,arbitrum-ecosystem;asset-backed-stablecoin;base-ecosystem;defi;ethereum-ecosystem;gnosis-chain-ecosystem;optimism-ecosystem;polygon-ecosystem;rehypothecated-crypto;stablecoin;usd-stablecoin
32864,AUSD,AUSD,2025-12-31,asset-backed-stablecoin;fraxtal-ecosystem;immutable-zkevm-ecosystem;monad-ecosystem;stablecoin;usd-stablecoin
39120,U,United Stables,2026-01-31,asset-backed-stablecoin;binance-ecosystem;binance-listing;stablecoin;tron20-ecosystem
38517,USDT0,USDT0,2026-04-30,asset-backed-stablecoin;bera-chain-ecosystem;corn-ecosystem;defi;hyperevm-ecosystem;megaeth-ecosystem;monad-ecosystem;plasma-ecosystem;rehypothecated-crypto;stablecoin;unichain-ecosystem;usd-stablecoin
39683,USDGO,USDGO,2026-04-30,asset-backed-stablecoin;stablecoin;usd-stablecoin
37654,SUSD1+,Lorenzo staked USD1+,2026-05-31,asset-backed-stablecoin;defi;liquid-staking-derivatives;rehypothecated-crypto;stablecoin;usd-stablecoin;yield-farming
38386,USAT,USAT,2026-05-31,asset-backed-stablecoin;fiat-stablecoin;stablecoin;usd-stablecoin
