cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags
29814,ETHFI,ether.fi,True,coin,consensus tags: ['staking'],Crypto Card Issuer;Lending;Liquid Restaking;Onchain Capital Allocator,False,,,amber-group-portfolio;arbitrum-ecosystem;binance-ecosystem;binance-launchpool;binance-listing;cmc-crypto-yearbook-2024-2025;defi;eigenlayer-ecosystem;ethereum-ecosystem;neobank;staking
21296,ETHW,EthereumPoW,True,coin,consensus tags: ['pow'],,False,,,binance-ecosystem;binance-listing;pow
2137,ETN,Electroneum,True,coin,consensus tags: ['mineable'],,False,,,layer-1;medium-of-exchange;mineable;wallet
1703,ETP,Metaverse ETP,True,coin,consensus tags: ['mineable'],,False,,,asset-management;mineable;smart-contracts
2843,ETZ,Ether Zero,True,coin,consensus tags: ['mineable'],,False,,,mineable
7505,EVER,Everscale,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,bnb-chain-ecosystem;ethereum-ecosystem;everscale-ecosystem;layer-1
2526,EVN,Envion,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,hardware;smart-contracts
2034,EVX,Everex,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,services;smart-contracts
96,EXC,Extremecoin,True,coin,consensus tags: ['mineable'],Dexs,False,,,mineable
633,EXCL,ExclusiveCoin,True,coin,"consensus tags: ['mineable', 'pos']",,False,,,mineable;pos
185,EXE,Execoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1070,EXP,Expanse,True,coin,"consensus tags: ['ethash', 'mineable', 'pow']",,False,,,ethash;mineable;pow
381,FC2,FuelCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
370,FCN,Fantomcoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
2870,FGC,FantasyGold,True,coin,"consensus tags: ['mineable', 'staking']",,False,,,mineable;sports;staking
2280,FIL,Filecoin,True,coin,consensus tags: ['mineable'],Chain,False,,,2017-2018-alt-season;a16z-portfolio;ai-big-data;alleged-sec-securities;binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;binance-smart-chain;blockchain-capital-portfolio;bnb-chain;boostvc-portfolio;coinlist-launchpad;dcg-portfolio;depin;distributed-computing;filecoin-ecosystem;filesharing;hashkey-capital-portfolio;heco-ecosystem;hoo-smart-chain-ecosystem;ipfs;layer-1;made-in-america;mineable;pantera-capital-portfolio;polychain-capital-portfolio;sec-security-token;storage;web3;winklevoss-capital;winklevoss-capital-portfolio
1414,FIRO,Firo,True,coin,"consensus tags: ['masternodes', 'mineable', 'pow']",,False,,,bnb-chain-ecosystem;defi;lyra2re;masternodes;medium-of-exchange;mineable;pow;privacy;privacy-coins;zero-knowledge-proofs
152,FLAP,FlappyCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
4842,FLG,Folgory Coin,True,coin,"consensus tags: ['mineable', 'pos', 'pow', 'scrypt']",,False,,,binance-smart-chain;mineable;pos;pow;scrypt
4558,FLOW,Flow,True,coin,consensus tags: ['staking'],Chain;Dexs,False,,,a16z-portfolio;alleged-sec-securities;animoca-brands-portfolio;binance-ecosystem;binance-listing;coinbase-ventures-portfolio;coinfund-portfolio;coinlist-launchpad;collectibles-nfts;dcg-portfolio;ethereum-ecosystem;flow-ecosystem;layer-1;ledgerprime-portfolio;platform;sec-security-token;staking
7950,FLR,Flare,True,coin,layer-1 native chain token (no governance/dao tag),Chain,True,,,dwf-labs-portfolio;iso-20022;layer-1
218,FLT,FlutterCoin,True,coin,consensus tags: ['mineable'],Derivatives,False,,,mineable
