cmc_id,symbol,name,slug,date_added,entry_month,tags
2394,TEL,Telcoin,telcoin,2018-01-14T00:00:00.000Z,2018-01-31,arbitrum-ecosystem;base-ecosystem;content-creation;defi;ethereum-ecosystem;identity;layer-1;made-in-america;media;medium-of-exchange;mobile-payment;neobank;payments;polygon-ecosystem;pos;real-world-assets-protocols;stablecoin-protocol;wallet
2369,XNS,Insolar,insolar,2018-01-11T00:00:00.000Z,2018-01-31,logistics
2274,MDS,MediShares,medishares,2017-12-13T00:00:00.000Z,2018-01-31,health
2399,INT,INT,int-chain,2018-01-15T00:00:00.000Z,2018-01-31,iot;platform
2242,QBT,Qbao,qbao,2017-12-02T00:00:00.000Z,2018-01-31,marketplace
2305,NGC,NAGA,naga,2017-12-23T00:00:00.000Z,2018-01-31,centralized-exchange;marketplace
2248,CAPP,Cappasity,cappasity,2017-12-06T00:00:00.000Z,2018-01-31,entertainment;vr-ar
2459,IDH,indaHash,indahash,2018-01-24T00:00:00.000Z,2018-01-31,media
2321,QLC,Kepple,qlink,2017-12-29T00:00:00.000Z,2018-01-31,technology
2283,DAT,Datum,datum,2017-12-15T00:00:00.000Z,2018-01-31,ai-big-data;iot;marketplace
1989,COS,COS,cos,2017-09-25T00:00:00.000Z,2018-01-31,
2381,SXDT,Spectre.ai Dividend Token,spectre-dividend,2018-01-12T00:00:00.000Z,2018-01-31,centralized-exchange;marketplace;smart-contracts
2202,PRL,Oyster,oyster,2017-11-20T00:00:00.000Z,2018-01-31,
2407,AIT,AICHAIN,aichain,2018-01-16T00:00:00.000Z,2018-01-31,
2341,SWFTC,SwftCoin,swftcoin,2018-01-04T00:00:00.000Z,2018-01-31,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;defi;ethereum-ecosystem;interoperability;marketplace;payments
2373,TIO,Trade Token,trade-token,2018-01-12T00:00:00.000Z,2018-01-31,
2289,GFT,Gifto,gifto,2017-12-18T00:00:00.000Z,2018-01-31,binance-ecosystem;binance-launchpad;bnb-chain-ecosystem;communications-social-media;content-creation;loyalty;media;pantera-capital-portfolio
2378,KRM,Karma,karma,2018-01-12T00:00:00.000Z,2018-01-31,
2215,TSL,Energo,energo,2017-11-21T00:00:00.000Z,2018-01-31,energy
2496,POLY,Polymath,polymath-network,2018-02-02T00:00:00.000Z,2018-02-28,crowdfunding;ethereum-ecosystem;marketplace;real-world-assets
2505,BLZ,Bluzelle,bluzelle,2018-02-06T00:00:00.000Z,2018-02-28,bnb-chain-ecosystem;cosmos-ecosystem;defi;depin;distributed-computing;dot-ecosystem;ethereum-ecosystem;filesharing;injective-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;platform;polkadot-ecosystem;smart-contracts;storage
2444,C20,CRYPTO20,c20,2018-01-22T00:00:00.000Z,2018-02-28,services
2446,DTA,DATA,data,2018-01-22T00:00:00.000Z,2018-02-28,ai-big-data;cosmos-ecosystem;marketing
2498,JNT,Jibrel Network,jibrel-network,2018-02-02T00:00:00.000Z,2018-02-28,asset-management
2511,WPR,WePower,wepower,2018-02-09T00:00:00.000Z,2018-02-28,crowdfunding;marketplace
2512,UCASH,UNIVERSAL CASH,ucash,2018-02-09T00:00:00.000Z,2018-02-28,
2392,BTO,Bottos,bottos,2018-01-14T00:00:00.000Z,2018-02-28,ai-big-data;distributed-computing;marketplace
2482,CPC,CPChain,cpchain,2018-01-30T00:00:00.000Z,2018-02-28,ai-big-data;iot;platform
2467,TRAC,OriginTrail,origintrail,2018-01-25T00:00:00.000Z,2018-02-28,ai-agents;ai-big-data;base-ecosystem;data-provenance;defi;depin;desci;distributed-computing;dot-ecosystem;enterprise-solutions;ethereum-ecosystem;generative-ai;gnosis-chain-ecosystem;interoperability;layer-1;logistics;marketplace;open-source;polkadot-ecosystem;polygon-ecosystem;privacy;real-world-assets;real-world-assets-protocols;smart-contracts;web3
2497,MTN,Medicalchain,medical-chain,2018-02-07T00:00:00.000Z,2018-02-28,
2493,STK,STK,stk,2018-02-01T00:00:00.000Z,2018-02-28,payments;services
2245,PRE,Presearch,presearch,2017-12-05T00:00:00.000Z,2018-02-28,ai-big-data;crowdsourcing;platform;search-engine
2001,COLX,ColossusXT,colossusxt,2017-09-29T00:00:00.000Z,2018-02-28,bnb-chain;bnb-chain-ecosystem;ethereum-ecosystem;masternodes;mineable;privacy
2222,BCD,Bitcoin Diamond,bitcoin-diamond,2017-11-24T00:00:00.000Z,2018-03-31,bitcoin-ecosystem;btc-ecosystem;medium-of-exchange;mineable;payments
2566,ONT,Ontology,ontology,2018-03-08T00:00:00.000Z,2018-03-31,binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defi;dot-ecosystem;enterprise-solutions;ethereum-ecosystem;fantom-ecosystem;gaming;huobi-capital;huobi-capital-portfolio;identity;layer-1;made-in-china;marketplace;metaverse;near-protocol-ecosystem;ont-ecosystem;polkadot-ecosystem;polygon-ecosystem;web3
2608,MITH,Mithril,mithril,2018-03-24T00:00:00.000Z,2018-03-31,content-creation;media;smart-contracts
2544,NCASH,Nitro Network,nucleus-vision,2018-02-26T00:00:00.000Z,2018-03-31,iot;retail
2591,DROP,Dropil,dropil,2018-03-18T00:00:00.000Z,2018-03-31,
2291,GNX,Genaro Network,genaro-network,2017-12-18T00:00:00.000Z,2018-03-31,distributed-computing;mineable;platform
2474,MAN,Matrix AI Network,matrix-ai-network,2018-01-27T00:00:00.000Z,2018-03-31,ai-big-data;binance-smart-chain;bnb-chain;collectibles-nfts;depin;gaming;generative-ai;hybrid-pow-dpos;identity;iot;layer-1;metaverse;mineable;platform;smart-contracts;web3
2556,CS,Credits,credits,2018-03-02T00:00:00.000Z,2018-03-31,iot;services
2548,POA,POA Network,poa,2018-02-28T00:00:00.000Z,2018-03-31,platform;scaling
2559,AUTO,Cube,cube,2018-03-03T00:00:00.000Z,2018-03-31,cybersecurity
2507,TKY,THEKEY,thekey,2018-02-07T00:00:00.000Z,2018-03-31,identity;platform
2530,FSN,Fusion,fusion,2018-02-16T00:00:00.000Z,2018-03-31,defi;fantom-ecosystem;payments;platform
2545,ABT,ArcBlock,arcblock,2018-02-26T00:00:00.000Z,2018-03-31,ai-big-data;defi;ethereum-ecosystem;interoperability;made-in-america;marketplace
2095,BOS,BOScoin,boscoin,2017-10-26T00:00:00.000Z,2018-03-31,
2277,SMT,SmartMesh,smartmesh,2017-12-13T00:00:00.000Z,2018-03-31,iot;technology
2526,EVN,Envion,envion,2018-02-15T00:00:00.000Z,2018-03-31,hardware;smart-contracts
2476,RUFF,Ruff,ruff,2018-01-28T00:00:00.000Z,2018-03-31,iot;platform
2428,DDD,Scry.info,scryinfo,2018-01-19T00:00:00.000Z,2018-03-31,ai-big-data;platform;smart-contracts
2588,LOOM,Loom Network,loom-network,2018-03-14T00:00:00.000Z,2018-03-31,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cosmos-ecosystem;enterprise-solutions;ethereum-ecosystem;gaming;injective-ecosystem;platform;scaling
2447,CRPT,Crypterium,crpt,2018-01-22T00:00:00.000Z,2018-03-31,services;smart-contracts
2577,RVN,Ravencoin,ravencoin,2018-03-10T00:00:00.000Z,2018-03-31,binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;collectibles-nfts;crowdfunding;made-in-america;mineable;platform;pow;real-world-assets;real-world-assets-protocols
