cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags,asset_class_original,confirmation_basis,sector,market_cap,month_end
16116,SOL,Wrapped Solana,True,token,governance/defi tags: ['defi'],Canonical Bridge;Dexs,False,,,avalanche-ecosystem;bnb-chain-ecosystem;defi;ethereum-ecosystem;monad-ecosystem;near-protocol-ecosystem;neon-evm-ecosystem;osmosis-ecosystem;polygon-ecosystem;rehypothecated-crypto;solana-ecosystem;terra-ecosystem,token,,Canonical Bridge;Dexs,150508898.41220042,2026-05-31
33391,DEEP,DeepBook Protocol,True,token,"governance/defi tags: ['decentralized-exchange-dex-token', 'defi']",Dexs;Launchpad,False,,,binance-ecosystem;binance-listing;decentralized-exchange-dex-token;defi;move-vm;sui-ecosystem,token,,Dexs;Launchpad,146822104.90615124,2026-05-31
24091,ZK,ZKsync,True,token,governance/defi tags: ['governance'],Chain,False,,,a16z-portfolio;binance-ecosystem;binance-listing;blockchain-capital-portfolio;egirl-capital-portfolio;ethereum-ecosystem;governance;layer-2;modular-blockchain;okx-ventures-portfolio;privacy;privacy-blockchain;rollups;zero-knowledge-proofs;zksync-era-ecosystem,token,,Chain;Layer-2;Modular Blockchain;Privacy;Zero Knowledge,143904301.95633033,2026-05-31
6990,SUN,SUN,True,token,"DeFiLlama governance/DeFi category: ['Derivatives', 'Dexs']",Bridge;Derivatives;Dexs,True,,,,token,,Bridge;Derivatives;Dexs,141348250.6956601,2021-05-31
36119,WAL,Walrus,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Developer Tools;Dexs,True,,,binance-alpha-airdrops;binance-ecosystem;binance-hodler-airdrops;binance-liquidity-enhancement-program;binance-listing;depin;move-vm;storage;sui-ecosystem,token,,Developer Tools;Dexs;DePIN;Storage,131441506.31927247,2026-05-31
38417,RIVER,River,True,token,"governance/defi tags: ['defi', 'yield-farming']",CeDeFi,False,,,base-ecosystem;binance-alpha;binance-buildkey-tge;binance-ecosystem;binance-listing;binance-wallet-ido;bnb-chain-ecosystem;cms-holdings-portfolio;cross-chain;defi;ethereum-ecosystem;yield-farming,token,,CeDeFi;Yield,130949840.13012467,2026-05-31
30083,ATH,Aethir,True,token,"DeFiLlama governance/DeFi category: ['Derivatives', 'Yield']",Derivatives;Developer Tools;Yield,True,,,ai-big-data;arbitrum-ecosystem;binance-alpha;binance-ecosystem;binance-listing;cmc-crypto-yearbook-2024-2025;depin;distributed-computing;ethereum-ecosystem;solana-ecosystem,token,,Derivatives;Developer Tools;Yield;AI/Big Data;DePIN,119845772.6107682,2026-05-31
33280,CHEEMS,Cheems (cheems.pet),True,token,DeFiLlama governance/DeFi category: ['Yield'],Yield,True,,,animal-memes;binance-alpha;binance-ecosystem;binance-listing;bnb-chain-ecosystem;doggone-doggerel;memes,token,,Yield;Meme,118444834.76195604,2026-05-31
36671,SAHARA,Sahara AI,True,token,governance/defi tags: ['governance'],,False,,,ai-big-data;binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-hodler-airdrops;binance-labs-portfolio;binance-listing;data-provenance;governance;layer-1;nomad-capital;pantera-capital-portfolio;polychain-capital-portfolio,token,,AI/Big Data;Layer-1,113611414.88907368,2026-05-31
1253,DAO,The DAO,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Dexs;Services,True,,,,token,,Dexs;Services,111140541.11492524,2016-06-30
35763,KAITO,KAITO,True,token,governance/defi tags: ['governance'],Services,False,,,ai-big-data;base-ecosystem;binance-ecosystem;binance-hodler-airdrops;binance-listing;communications-social-media;dragonfly-capital-portfolio;governance;hashkey-capital-portfolio;social-token;spartan-group,token,,Services;AI/Big Data,110949813.79195195,2026-05-31
35818,SOSO,SoSoValue,True,token,governance/defi tags: ['defi'],Basis Trading;Bridge;Derivatives;Dexs;Indexes,False,,,ai-big-data;asset-management;base-ecosystem;dapp;defi;ethereum-ecosystem,token,,Basis Trading;Bridge;Derivatives;Dexs;Indexes;AI/Big Data,109118076.02816272,2026-05-31
10508,FLUID,Fluid,True,token,"governance/defi tags: ['dao', 'defi']",Dexs;Yield Aggregator,False,,,arbitrum-ecosystem;base-ecosystem;binance-alpha;binance-ecosystem;binance-listing;coinbase-ventures-portfolio;dao;defi;ethereum-ecosystem;standard-crypto-portfolio,token,,Dexs;Yield Aggregator,107197480.5404372,2026-05-31
2586,SNX,Synthetix,True,token,"governance/defi tags: ['dao', 'decentralized-exchange', 'decentralized-exchange-dex-token', 'defi', 'defiance-capital', 'defiance-capital-portfolio', 'derivatives', 'governance', 'perp-dex-coins', 'perpetuals', 'real-world-assets', 'real-world-assets-protocols', 'yield-farming']",Derivatives;Synthetics,False,,,alameda-research-portfolio;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;celsius-bankruptcy-estate;coinbase-ventures-portfolio;dao;decentralized-exchange;decentralized-exchange-dex-token;defi;defiance-capital;defiance-capital-portfolio;derivatives;dwf-labs-portfolio;ethereum-ecosystem;fantom-ecosystem;framework-ventures;framework-ventures-portfolio;governance;heco-ecosystem;near-protocol-ecosystem;optimism-ecosystem;paradigm-portfolio;parafi-capital;perp-dex-coins;perpetuals;polygon-ecosystem;real-world-assets;real-world-assets-protocols;services;solana-ecosystem;spartan-group;synthetic-protocols;synthetics;three-arrows-capital-portfolio;yield-farming,token,,Derivatives;Synthetics;DEX;Perpetuals;RWA;Yield,101375225.70381822,2026-05-31
2933,BMX,BitMart Token,True,token,"DeFiLlama governance/DeFi category: ['Derivatives', 'Dexs']",CEX;Derivatives;Dexs,True,,,centralized-exchange;ethereum-ecosystem;marketplace,token,,CEX;Derivatives;Dexs;Exchange Token,100304836.57968812,2026-05-31
1785,GAS,Gas,True,token,governance/defi tags: ['defi'],Dexs,False,,,binance-ecosystem;binance-listing;defi;medium-of-exchange;neo-ecosystem;payments;smart-contracts,token,,Dexs;Payments;Smart Contract Platform,94777935.2951915,2026-05-31
28298,BEAM,Beam,True,token,governance/defi tags: ['governance'],Chain,False,,,base-ecosystem;beam-ecosystem;binance-chain;binance-ecosystem;binance-launchpool;binance-listing;bnb-chain-ecosystem;dwf-labs-portfolio;ethereum-ecosystem;gaming;gaming-guild;governance;play-to-earn;spartan-group;token,token,,Chain;Gaming,88803835.63114627,2026-05-31
30986,KMNO,Kamino,True,token,"governance/defi tags: ['defi', 'lending-borowing']",Lending;Liquidity Manager,False,,,binance-ecosystem;binance-listing;defi;lending-borowing;solana-ecosystem,token,,Lending;Liquidity Manager,88793619.03953144,2026-05-31
