cmc_id,symbol,name,dl_slug,cmcid_categories,symbol_categories,has_addr,token_chain,has_snapshot,stage1_label,stage1_reason
2296,OST,OST,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2308,SAI,Single Collateral DAI ,,,Derivatives;Onchain Capital Allocator;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2318,NEU,Neumark,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2320,UTK,xMoney,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2324,ONE,BigONE Token,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2341,SWFTC,SwftCoin,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2363,ZAP,Zap,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2377,LEV,Leverj,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2410,SPC,SpaceChain,,,Dexs;Reserve Currency,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2424,AGIX,SingularityNET,,,Staking Pool,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2429,MOBI,Mobius,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2430,HOT,Hydro Protocol,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2496,POLY,Polymath,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2505,BLZ,Bluzelle,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2530,FSN,Fusion,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2538,NEC,Nectar,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2545,ABT,ArcBlock,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2559,AUTO,Cube,,,Yield Aggregator,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2576,TEN,Tokenomy,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2586,SNX,Synthetix,,,Derivatives;Synthetics,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2593,DRG,Dragon Coins,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2620,SWTH,Carbon Protocol,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2662,XHV,Haven Protocol,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2663,KST,StarCoin,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2675,DOCK,Dock,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2693,LRN,Loopring [NEO],,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2700,CEL,Celsius,,,Yield Aggregator,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2726,GEN,DAOstack,,,Farm,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2765,XYO,XYO,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2772,DGTX,Digitex,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2778,EXC,Eximchain,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2826,ZIP,Zipper,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2873,MET,Metronome,metronome-v1,Yield,Dexs;Launchpad;Synthetics;Yield;Yield Aggregator,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=metronome-v1)"
2930,IQ,IQ,iq,Services,Services,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Services (slug=iq)"
2933,BMX,BitMart Token,bitmart,CEX,CEX;Derivatives;Dexs,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: CEX (slug=bitmart)"
2937,VITE,VITE,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2945,BOX,ContentBox,,,Dexs;Indexes,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2982,MVL,MVL,mvl-staking,Yield,Yield,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=mvl-staking)"
3053,YOU,YOU COIN,,,Dexs;Synthetics,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3083,LINA,LINA,,,Derivatives,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3139,DX,DxChain Token,,,Launchpad,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3155,QNT,Quant,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3296,MIN,MINDOL,,,DEX Aggregator;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3325,ROX,Robotina,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3367,CRD,CryptalDash,,,Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3418,META,Metadium,,,Dexs;Reserve Currency;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3475,BOX,BOX Token,,,Dexs;Indexes,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3515,DEX,DEX,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3637,AERGO,Aergo,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3653,BRC,Baer Chain,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3748,HXRO,Hxro,hxro-network,Derivatives,Derivatives,True,Solana,False,LOW,"cmcId-matched DL protocol, non-staking category: Derivatives (slug=hxro-network)"
3792,USDE,USDe,,,Derivatives,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3814,CELR,Celer Network,cbridge,Bridge,Bridge,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Bridge (slug=cbridge)"
3822,TFUEL,Theta Fuel,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3835,ORBS,Orbs,orbs,Farm,Farm,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Farm (slug=orbs)"
3840,FST,1irstcoin,,,Derivatives,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3855,LOCUS,Locus Chain,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3874,IRIS,IRISnet,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3911,OCEAN,Ocean Protocol,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3916,THX,ThoreNext,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3928,IDEX,IDEX,,,Derivatives;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
3930,TT,ThunderCore,thundercore-staking,Staking Pool,Dexs;Staking Pool,True,ThunderCore,False,LOW,"cmcId-matched DL protocol, non-staking category: Staking Pool (slug=thundercore-staking)"
3992,COTI,COTI,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4006,AWE,AWE,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4090,WXT,Wirex Token,nereus-finance,Lending,CEX;Lending,True,Avalanche,False,LOW,"cmcId-matched DL protocol, non-staking category: Lending (slug=nereus-finance)"
4113,UNI,UNI COIN,,,Dexs;Launchpad,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4134,AKRO,Kaon,akropolis,Yield,Yield,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=akropolis)"
4157,RUNE,THORChain,thorchain-dex,Dexs,Dexs,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=thorchain-dex)"
4172,LUNC,Terra Classic,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4195,FTT,FTX Token,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4206,WIN,WINkLink,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4217,BOA,BOSagora,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4279,SXP,Solar,swipe,Dexs,Dexs,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=swipe)"
4360,FAB,FABRK,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4484,CRN,ChronoCoin,,,Dexs;Yield Aggregator,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4566,XDB,XDB CHAIN,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4598,ACA,Acash Coin,,,Canonical Bridge;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4679,BAND,Band,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
4862,DAD,DAD,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5007,TROY,TROY,,,Farm,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5015,HEX,HEX,hex,Yield,Yield,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=hex)"
5103,IPX,Tachyon Protocol,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5113,SURE,inSure DeFi,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5117,OGN,Origin Protocol,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5190,FLEX,FLEX,coinflex,Yield,CDP;Yield,True,smartBCH,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=coinflex)"
5234,DNA,Metaverse Dualchain Network Architecture,,,Algo-Stables;Farm;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5266,MLK,MiL.k,,,Farm,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5274,EDG,Edgeware,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5279,SOLO,Sologenic,sologenic,Dexs,Basis Trading;Dexs,False,,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=sologenic)"
5299,HDAO,HyperDAO,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5354,PEAK,PEAKDEFI,peakdefi,Yield,Algo-Stables;Yield,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=peakdefi)"
5410,PRQ,PARSIQ,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5429,DEP,DEAPcoin,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5488,JST,JUST,,,Bridge;Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5566,KEEP,Keep Network,keep-network,Cross Chain Bridge,Cross Chain Bridge,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Cross Chain Bridge (slug=keep-network)"
5601,STAKE,STAKE,xdai-stake-bridge,Canonical Bridge,Canonical Bridge,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Canonical Bridge (slug=xdai-stake-bridge)"
5617,UMA,UMA,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
