cmc_id,symbol,name,asset_class,chain,class,tx_repository,ch1_staking,ch2_holding,ch3_voting
18031,CCD,Concordium,token,,NO-IDENTITY,,no,no,no
793,CELL,SolarFarm,token,,NO-IDENTITY,,no,no,no
963,CORE,CORE,token,,NO-IDENTITY,,no,no,no
4484,CRN,ChronoCoin,token,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1867,CTR,Centra,token,,NO-IDENTITY,,no,no,no
1253,DAO,The DAO,token,,NO-IDENTITY,,no,no,no
33391,DEEP,DeepBook Protocol,token,Sui Network,NonEVM-indexed,Sui RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
603,DEX,InstantDEX,token,,NO-IDENTITY,,no,no,no
5234,DNA,Metaverse Dualchain Network Architecture,token,,NO-IDENTITY,,no,no,no
2675,DOCK,Dock,token,,NO-IDENTITY,,no,no,no
814,DOT,Dotcoin,token,,NO-IDENTITY,,no,no,no
1295,DRACO,DT Token,token,,NO-IDENTITY,,no,no,no
31278,DRIFT,Drift,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
7978,FIDA,Bonfida,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
7150,FLM,Flamingo,token,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1062,FLY,Flycoin,token,,NO-IDENTITY,,no,no,no
671,GAIA,GAIA,token,,NO-IDENTITY,,no,no,no
1785,GAS,Gas,token,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
785,GP,GoldPieces,token,,NO-IDENTITY,,no,no,no
1750,GXC,GXChain,token,,NO-IDENTITY,,no,no,no
22850,HONEY,Hivemapper,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
2099,ICX,ICON,token,,NO-IDENTITY,,no,no,no
12760,INF,Sanctum Infinity,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
5103,IPX,Tachyon Protocol,token,,NO-IDENTITY,,no,no,no
1237,JACK,BlackJack,token,,NO-IDENTITY,,no,no,no
888,JAY,Jay,token,,NO-IDENTITY,,no,no,no
