cmc_id,symbol,name,chain,chainid,address,etherscan_reachable,getlogs_free_tier,contract,ch1_lock_stake,ch1_event,ch2_holding,ch3_voting,ch3_event
3930,TT,ThunderCore,Ethereum,1,0x1E053D89E08c24aA2CE5C5B4206744Dc2D7BD8F5,yes,yes,TokenProxy->impl:ERC677InitializableBridgeToken,-,,Transfer-log (free),-,
3992,COTI,COTI,Ethereum,1,0xDDB3422497E61e13543BeA06989C0789117555c5,yes,yes,Coti,-,,Transfer-log (free),-,
4006,AWE,AWE,Base,8453,0x1B4617734C43F6159F3a70b7E06d883647512778,yes,no(PAID),ERC1967Proxy->impl:AWE,-,,Transfer-log (PAID chain),ERC20Votes-ABIonly [getLogs needs PAID plan on this chain],"DelegateVotesChanged(address,uint256,uint256)"
4090,WXT,Wirex Token,Ethereum,1,0xa02120696c7B8fE16C09C749E4598819b2B0E915,yes,yes,WirexToken,-,,Transfer-log (free),-,
4113,UNI,UNI COIN,Ethereum,1,0xe6877ea9c28fbdec631ffbc087956d0023a76bf2,yes,yes,UniCoinToken,-,,Transfer-log (free),-,
4134,AKRO,Kaon,Ethereum,1,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,yes,yes,TokenProxy->impl:AkropolisToken,GENUINE,Locked(),Transfer-log (free),-,
4157,RUNE,THORChain,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
4172,LUNC,Terra Classic,Ethereum,1,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,yes,yes,BridgeToken->impl:TokenImplementation,-,,Transfer-log (free),-,
4195,FTT,FTX Token,Ethereum,1,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,yes,yes,FTT,-,,Transfer-log (free),-,
4206,WIN,WINkLink,BSC,56,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,yes,no(PAID),BEP20UpgradeableProxy->impl:BEP20TokenImplementation,-,,Transfer-log (PAID chain),-,
4217,BOA,BOSagora,Ethereum,1,0x51bD4f39803fcAEFf3ef45aae2C3aaFf0B9faDcb,yes,yes,BOSAGORA,-,,Transfer-log (free),-,
4279,SXP,Solar,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
4360,FAB,FABRK,Ethereum,1,0x12683dc9eec95a5f742d40206e73319e6b9d8a91,yes,yes,FABToken,-,,Transfer-log (free),-,
4484,CRN,ChronoCoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
4566,XDB,XDB CHAIN,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
4598,ACA,Acash Coin,Ethereum,1,0x63d958d765f5bd88efdbd8afd32445393b24907f,yes,yes,ACASH,-,,Transfer-log (free),-,
4679,BAND,Band,Ethereum,1,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,yes,yes,BandToken,-,,Transfer-log (free),-,
4862,DAD,DAD,Ethereum,1,0x5b322514ff727253292637d9054301600c2c81e8,yes,yes,DAD,-,,Transfer-log (free),-,
5007,TROY,TROY,Ethereum,1,0x4574562e9310a94f9ca962bd23168d8a06875b1a,yes,yes,TROY,-,,Transfer-log (free),-,
5015,HEX,HEX,Ethereum,1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,yes,yes,HEX,GENUINE,"StakeStart(uint256,address,uint40)",Transfer-log (free),-,
