cmc_id,symbol,name,asset_class,sector,staking_start,dl_slug,dl_category,token_address,token_chain,token_chains,snapshot_space,gecko_id,dl_matched,n_dl_entries,has_address,has_snapshot
3513,FTM,Fantom,coin,Chain;Layer-1;Smart Contract Platform,,,,,,,,,False,0,False,False
22615,FTN,Fasttoken,coin,Chain;Layer-1,,fast-token,Chain,0xaeDf386B755465871fF874E3E37Af5976E247064,,,,fasttoken,True,1,True,False
965,FUNK,The Cypherfunks,coin,,,,,,,,,,False,0,False,False
32120,G,Gravity,coin,Canonical Bridge;Layer-1,,gravity-by-galxe,Canonical Bridge,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,Ethereum,Ethereum,,g-token,True,1,True,False
7080,GALA,Gala,coin,NFT;Gaming;Layer-1,,,,,,,,,False,0,False,False
576,GAME,GameCredits,coin,Algo-Stables;NFT;Gaming;Metaverse,,,,,,,,,False,0,False,False
1285,GB,GoldBlocks,coin,Lending,,,,,,,,,False,0,False,False
1531,GCC,Global Cryptocurrency,coin,,,,,,,,,,False,0,False,False
730,GCN,GCN Coin,coin,,,,,,,,,,False,0,False,False
25,GLC,Goldcoin,coin,,,,,,,,,,False,0,False,False
51,GLC,GlobalCoin,coin,,,,,,,,,,False,0,False,False
6836,GLMR,Moonbeam,coin,Canonical Bridge;Layer-1;Smart Contract Platform,,moonbeam,Canonical Bridge,,,,,moonbeam,True,1,False,False
1659,GNO,Gnosis,coin,Chain;DEX;Layer-1;Prediction Market,,gnosis-dao,Chain,0x6810e776880c02933d47db1b9fc05908e5386b96,,,gnosis.eth,gnosis,True,1,True,True
2291,GNX,Genaro Network,coin,DePIN,,,,,,,,,False,0,False,False
2861,GO,GoChain,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
833,GRC,Gridcoin,coin,,,,,,,,,,False,0,False,False
3709,GRIN,Grin,coin,Payments;Privacy,,,,,,,,,False,0,False,False
258,GRS,Groestlcoin,coin,Payments;Privacy,,,,,,,,,False,0,False,False
977,GXX,GravityCoin,coin,,,,,,,,,,False,0,False,False
1329,GYC,Gycoin,coin,,,,,,,,,,False,0,False,False
701,HAM,HamRadioCoin,coin,,,,,,,,,,False,0,False,False
4642,HBAR,Hedera,coin,Chain;DAG;Layer-1;Payments;RWA,,hedera,Chain,,,,,hedera-hashgraph,True,1,False,False
78,HBN,HoboNickels,coin,,,,,,,,,,False,0,False,False
1903,HC,HyperCash,coin,Payments,,,,,,,,,False,0,False,False
202,HEX,Heisenberg,coin,Yield,,,,,,,,,False,0,False,False
5370,HIVE,Hive,coin,Layer-1,,,,,,,,,False,0,False,False
1173,HMP,HempCoin,coin,,,,,,,,,,False,0,False,False
1004,HNC,Hellenic Coin,coin,,,,,,,,,,False,0,False,False
5665,HNT,Helium,coin,Chain;DePIN;IoT,,helium-network,DePIN,solana:hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,,,,helium,True,1,True,False
1195,HODL,HOdlcoin,coin,,,,,,,,,,False,0,False,False
1628,HPAY,HappyPay,coin,,,,,,,,,,False,0,False,False
2345,HPB,High Performance Blockchain,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
1220,HTC,HitCoin,coin,,,,,,,,,,False,0,False,False
2315,HTML,HTMLCOIN,coin,,,,,,,,,,False,0,False,False
616,HTML5,HTML5COIN,coin,,,,,,,,,,False,0,False,False
5552,HTR,Hathor,coin,RWA;Smart Contract Platform,,,,,,,,,False,0,False,False
130,HUC,HunterCoin,coin,,,,,,,,,,False,0,False,False
1466,HUSH,Hush,coin,,,,,,,,,,False,0,False,False
3147,HYC,HYCON,coin,DAG,,,,,,,,,False,0,False,False
32196,HYPE,Hyperliquid,coin,Bridge;Derivatives;Dexs;Layer-1;Perpetuals,,,,,,,,,False,0,False,False
353,HYPER,Hyper,coin,Cross Chain Bridge;Prediction Market,,,,,,,,,False,0,False,False
63,I0C,I0Coin,coin,,,,,,,,,,False,0,False,False
8916,ICP,Internet Computer,coin,Chain;AI/Big Data;NFT;DePIN;Gaming;Interoperability;Layer-1;Metaverse;Privacy;RWA;Smart Contract Platform;Storage,,internet-computer,Chain,icp:ryjl3-tyaaa-aaaaa-aaaba-cai,,,,internet-computer,True,1,True,False
41,IFC,Infinitecoin,coin,,,,,,,,,,False,0,False,False
3617,ILC,ILCOIN,coin,Storage;Payments,,,,,,,,,False,0,False,False
1069,INFX,Influxcoin,coin,,,,,,,,,,False,0,False,False
7226,INJ,Injective,coin,Bridge;Chain;Derivatives;Dexs;AI/Big Data;DEX;Layer-1;RWA;Smart Contract Platform,,injective-bridge,Bridge,0xe28b3b32b6c345a34ff64674606124dd5aceca30,Ethereum,Ethereum,,,True,1,True,False
1445,INSANE,InsaneCoin,coin,,,,,,,,,,False,0,False,False
495,IOC,I/O Coin,coin,Storage,,,,,,,,,False,0,False,False
1281,ION,ION,coin,Lending;Synthetics,,,,,,,,,False,0,False,False
1464,IOP,Internet of People,coin,,,,,,,,,,False,0,False,False
1720,IOTA,IOTA,coin,DAG;DePIN;IoT;Layer-1;Payments;RWA,,,,,,,,,False,0,False,False
2777,IOTX,IoTeX,coin,Chain;AI/Big Data;DePIN;IoT;Layer-1,,iotex,Chain,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,,,,iotex,True,1,True,False
35626,IP,Story,coin,Chain;AI/Big Data;Layer-1;Smart Contract Platform,,story,Chain,,,,,story-2,True,1,False,False
2251,ITC,IoT Chain,coin,IoT;Smart Contract Platform,,,,,,,,,False,0,False,False
13,IXC,Ixcoin,coin,,,,,,,,,,False,0,False,False
536,J,Joincoin,coin,,,,,,,,,,False,0,False,False
11396,JOE,JOE,coin,DEX Aggregator;Dexs;Farm;Lending;DEX;Yield,,,,,,,,,False,0,False,False
28541,JTO,Jito,coin,DAO Service Provider;Liquid Staking;Restaking,,,,,,,,,False,0,False,False
38192,JUPSOL,Jupiter Staked SOL,coin,,,,,,,,,,False,0,False,False
5453,KAI,KardiaChain,coin,Derivatives;Dexs;Interoperability;Smart Contract Platform,,,,,,,,,False,0,False,False
32880,KAIA,Kaia,coin,Layer-1,,,,,,,,,False,0,False,False
116,KARMA,Karmacoin,coin,Reserve Currency,,,,,,,,,False,0,False,False
20396,KAS,Kaspa,coin,DAG;Layer-1,,,,,,,,,False,0,False,False
